state,comparison,dropout_rate_gap_pp,dropout_rate_ratio
Georgia,Hispanic vs White,5.870606116823324,2.038224216395953
Hawaii,Hispanic vs White,2.883975152525977,3.0877410225439283
Idaho,Hispanic vs White,4.290855162204822,1.7444850646947136
Illinois,Hispanic vs White,2.6788641207121264,1.7221022398255783
Indiana,Hispanic vs White,-0.16037803545959672,0.9758526405289512
Iowa,Hispanic vs White,5.697137416336965,2.5899516421859805
Kansas,Hispanic vs White,6.672203102548194,2.689464383655809
Kentucky,Hispanic vs White,3.7473402770708573,1.7015033632775707
Louisiana,Hispanic vs White,4.066976451285603,1.660153089354449
Maine,Hispanic vs White,4.125815752799251,1.9616972348103296
Maryland,Hispanic vs White,7.259375314495397,3.82417655546182
Massachusetts,Hispanic vs White,6.382804035395732,3.705755160688349
Michigan,Hispanic vs White,3.81012064649516,1.7987847057015842
Minnesota,Hispanic vs White,6.213315167645478,3.144945058191244
Mississippi,Hispanic vs White,9.787228178605984,2.7425252462610645
Missouri,Hispanic vs White,1.4956813089163923,1.2803715237774118
Montana,Hispanic vs White,1.002539560392961,1.1878910956788689
Nebraska,Hispanic vs White,5.550055877527566,2.6100102747391536
Nevada,Hispanic vs White,3.5619376191859002,1.6434445850223456
New Hampshire,Hispanic vs White,4.183790566903813,2.1701896109801004
New Jersey,Hispanic vs White,4.293410552561294,3.2881495562667893
New Mexico,Hispanic vs White,3.4154697470342708,1.5695816318997127
New York,Hispanic vs White,4.254295145551231,2.2079762361148525
North Carolina,Hispanic vs White,6.076664967339291,2.4411184051046915
North Dakota,Hispanic vs White,4.013920106249483,2.376151026181336
Ohio,Hispanic vs White,3.2927297804079902,1.6621378810833325
Oklahoma,Hispanic vs White,3.6667206594168738,1.6857485090680928
Oregon,Hispanic vs White,2.717401235819266,1.4352823437435063
Pennsylvania,Hispanic vs White,4.821585836842247,1.9674683555882384
Rhode Island,Hispanic vs White,2.321420148824467,1.7631126958979249
South Carolina,Hispanic vs White,4.790514902660329,1.9350250552102022
South Dakota,Hispanic vs White,4.167486603458546,1.9942718639901473
Tennessee,Hispanic vs White,6.595969547751984,2.588149049504232
Texas,Hispanic vs White,4.208527544510001,2.073179885259296
Utah,Hispanic vs White,4.15151063952441,2.199892988262175
Vermont,Hispanic vs White,2.166554577821774,1.4734738392095341
Virginia,Hispanic vs White,5.314788139961096,3.0399213572124313
Washington,Hispanic vs White,4.877133431959137,1.9911184402176239
West Virginia,Hispanic vs White,2.0070645751978953,1.4093625658456432
Wisconsin,Hispanic vs White,4.521799046452813,2.3390753267251276
Wyoming,Hispanic vs White,-0.23654873561273604,0.9379959937876197
